ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;1;106184;50606;50;ACTIVO;HOSPEDAJE RURAL AMANECER LLANERO;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;7;15
2024;3;106190;50001;50;ACTIVO;CASA CAMPESTRE SANTA BARBARA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);1;1;15
2024;3;106193;50226;50;ACTIVO;DAJAN ALEJANDRA PRIETO MILLAN;META;CUMARAL;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;4;10
2024;1;106198;50683;50;ACTIVO;AGENCIA DE VIAJES Y OPERDOR TURISTICO RAFTING CENTER;META;SAN JUAN DE ARAMA;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;3;106210;50001;50;ACTIVO;FINCA TURISTICA DANIEL`S;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;7;14
2024;1;106212;50001;50;ACTIVO;JULIAN ANDRES BAUTISTA ALFONSO;META;VILLAVICENCIO;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;3;106213;50006;50;ACTIVO;ROLANDO LEAL ROMERO;META;ACACIAS;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;3;106214;50287;50;ACTIVO;OSCAR  ORTIZ ABAUNZA;META;FUENTE DE ORO;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;3;106215;50287;50;ACTIVO;GRACIELA ABAUNZA RODAS;META;FUENTE DE ORO;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;1;106221;50001;50;ACTIVO;JIMMY FERNANDO VELASQUEZ BERMUDEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;5;20
2024;1;106222;50001;50;ACTIVO;ANGELICA ESPERANZA CARBONELL GARCIA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;7
2024;3;106518;50318;50;ACTIVO;FINCA LA LLANERITA;META;GUAMAL;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;4;24
2024;1;108359;50001;50;ACTIVO;YAMILE RAQUEL SOCARRAS BARRIOS;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;1;3
2024;3;108386;50606;50;ACTIVO;MANUEL ANTONIO MORENO HERNANDEZ;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);1;1;10
2024;1;108435;50001;50;ACTIVO;DIANA MARCELA EUSCATEGUI HERNANDEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;1;15
2024;2;108440;50313;50;ACTIVO;NOWEN PARADISE;META;GRANADA (META);AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;1;108882;50006;50;ACTIVO;FEDOR ANDRES PIÑEROS RAMIREZ;META;ACACIAS;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
2024;2;108911;50226;50;ACTIVO;VILLA CAMPESTRE EL TESORO;META;CUMARAL;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;27;27
2024;2;109081;50006;50;ACTIVO;MAGDA JULIANA MALAGON BOADA;META;ACACIAS;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;7
2024;1;109260;50001;50;ACTIVO;KATERIN LORENA BEJARANO SERNA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;8
2024;1;109275;50606;50;ACTIVO;ESPINEL ZANABRIA NERCE YANILE;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;10
2024;3;109312;50001;50;ACTIVO;ALEJANDRO VIANA HENAO;META;VILLAVICENCIO;GUIAS DE TURISMO;GUIA DE TURISMO;0;0;0
